t, x_target_error, distance_to_target, tape_align_error, target_locked, left_tape_area, right_tape_area
0.100004, -71.000000, 10.000000, 0.000000, 1, 15.000000, 15.000000, 
0.200005, -71.000000, 10.000000, -0.500000, 1, 14.500000, 15.000000, 
0.300031, -71.000000, 10.000000, -0.500000, 1, 14.500000, 15.000000, 
0.400031, -71.000000, 10.000000, 0.000000, 1, 15.000000, 15.000000, 
0.500032, -71.000000, 10.000000, 0.000000, 1, 15.000000, 15.000000, 
0.600032, -71.000000, 10.000000, -0.500000, 1, 14.500000, 15.000000, 
0.700033, -71.000000, 10.000000, 0.000000, 1, 15.000000, 15.000000, 
0.800034, -71.000000, 10.000000, -0.500000, 1, 14.500000, 15.000000, 
0.900035, -71.000000, 10.000000, 0.000000, 1, 15.000000, 15.000000, 
1.000035, -71.000000, 10.000000, 1.500000, 1, 14.000000, 12.500000, 
1.100037, -71.000000, 10.000000, 2.000000, 1, 16.000000, 14.000000, 
1.200039, -73.000000, 10.000000, 7.000000, 1, 17.500000, 10.500000, 
1.300039, -72.000000, 10.000000, 0.500000, 1, 15.500000, 15.000000, 
1.400040, -72.000000, 10.000000, 1.000000, 1, 16.500000, 15.500000, 
1.500042, -74.000000, 10.000000, 2.500000, 1, 17.500000, 15.000000, 
1.600042, -76.000000, 10.000000, 3.500000, 1, 19.000000, 15.500000, 
1.700043, -78.000000, 10.000000, -2.500000, 1, 19.000000, 21.500000, 
1.800044, -74.000000, 10.000000, -0.500000, 1, 22.000000, 22.500000, 
1.900045, -57.000000, 10.000000, 2.500000, 1, 24.500000, 22.000000, 
2.000045, -29.000000, 10.000000, -0.500000, 1, 23.000000, 23.500000, 
2.100045, 5.000000, 10.000000, -3.000000, 1, 23.500000, 26.500000, 
2.200047, 29.000000, 10.000000, -5.500000, 1, 25.500000, 31.000000, 
2.300047, 43.000000, 7.965515, -8.000000, 1, 29.500000, 37.500000, 
2.400049, 55.000000, 7.650009, -7.000000, 1, 33.500000, 40.500000, 
2.500051, 66.000000, 7.300003, -9.500000, 1, 41.000000, 50.500000, 
2.600051, 63.000000, 6.649994, -12.500000, 1, 44.500000, 57.000000, 
2.700052, 51.000000, 6.500000, -10.500000, 1, 51.500000, 62.000000, 
2.800052, 44.000000, 5.974998, -17.500000, 1, 58.500000, 76.000000, 
2.900053, 35.000000, 5.690384, -15.000000, 1, 71.000000, 86.000000, 
3.000053, 27.000000, 5.582191, -12.500000, 1, 79.500000, 92.000000, 
3.100055, 25.000000, 4.974136, -12.000000, 1, 111.000000, 123.000000, 
3.200055, 29.000000, 4.181702, -30.000000, 1, 125.500000, 155.500000, 
3.300055, 31.000000, 4.150002, -25.000000, 1, 134.500000, 159.500000, 
3.400055, 33.000000, 3.833333, -30.000000, 1, 166.500000, 196.500000, 
3.500055, 36.000000, 3.358576, -38.500000, 1, 187.500000, 226.000000, 
3.600055, 37.000000, 2.944037, -50.000000, 1, 226.000000, 276.000000, 
3.700055, 41.000000, 2.717203, -61.500000, 1, 251.500000, 313.000000, 
3.800055, 42.000000, 2.423131, -75.000000, 1, 312.000000, 387.000000, 
3.900057, 44.000000, 2.220001, -91.500000, 1, 334.000000, 425.500000, 
4.000058, 45.000000, 1.974094, -107.000000, 1, 383.500000, 490.500000, 
4.100060, 44.000000, 1.808596, -110.500000, 1, 443.000000, 553.500000, 
4.200060, 47.000000, 1.633087, -142.000000, 1, 492.500000, 634.500000, 
4.300060, 45.000000, 1.498781, -166.500000, 1, 549.000000, 715.500000, 
